row_id,age,income,tenure_years,region,channel,churned
row-0000,24.0,42273.41146105966,17.0,,web,0
row-0001,63.0,41670.26541858023,9.0,east,store,0
row-0002,56.0,45682.096825842076,13.0,east,store,1
row-0003,44.0,,15.0,south,store,1
row-0004,43.0,28917.860943891472,14.0,east,web,1
row-0005,,33406.92027680157,15.0,west,partner,1
row-0006,23.0,17005.966596709684,9.0,west,web,0
row-0007,58.0,18811.29491156262,0.0,west,store,0
row-0008,30.0,,8.0,east,store,0
row-0009,,22723.532316041477,3.0,south,store,0
row-0010,49.0,40859.93081804068,16.0,west,partner,1
row-0011,74.0,23616.450346029844,4.0,south,web,1
row-0012,,29471.28643989579,4.0,east,web,0
row-0013,62.0,59615.79800159132,4.0,south,web,1
row-0014,59.0,29743.596144449595,11.0,south,web,1
row-0015,63.0,47087.20272605582,10.0,north,web,1
row-0016,48.0,23338.98866599223,17.0,west,web,1
row-0017,26.0,31688.72523234699,7.0,north,web,0
row-0018,66.0,23178.73950688866,5.0,north,web,0
row-0019,44.0,29959.63061017582,0.0,west,web,0
row-0020,47.0,49164.61408172468,0.0,east,store,0
row-0021,40.0,16722.751261909176,6.0,,store,0
row-0022,29.0,41458.90316116569,16.0,east,web,0
row-0023,71.0,,9.0,south,web,1
row-0024,63.0,26915.484140938974,16.0,north,web,1
row-0025,55.0,18819.629024145284,1.0,east,store,1
row-0026,41.0,35606.888426181904,1.0,north,web,1
row-0027,65.0,27656.41707199003,15.0,east,web,1
row-0028,50.0,38090.6456041683,1.0,west,web,0
row-0029,44.0,34862.87892899006,0.0,west,web,0
row-0030,44.0,67693.61452942209,7.0,south,web,0
row-0031,31.0,31240.50085955574,16.0,west,store,0
row-0032,24.0,22474.375063422005,12.0,east,store,0
row-0033,50.0,37245.848453418505,1.0,south,store,0
row-0034,69.0,37888.3367888557,15.0,north,store,0
row-0035,22.0,61136.159682201214,15.0,south,store,0
row-0036,67.0,49057.41978029208,14.0,east,web,1
row-0037,66.0,40130.25609369602,16.0,west,store,1
row-0038,34.0,63868.86106476772,4.0,north,web,1
row-0039,55.0,20967.303290669675,17.0,east,web,0
row-0040,28.0,26404.88622384814,5.0,west,store,0
row-0041,62.0,23408.11660372593,14.0,west,web,1
row-0042,58.0,29327.469537386194,10.0,south,web,1
row-0043,,19376.026200893535,14.0,north,store,0
row-0044,22.0,45105.677192217474,11.0,south,partner,0
row-0045,,31466.112976300214,11.0,west,partner,0
row-0046,44.0,18625.02445577948,11.0,west,web,0
row-0047,69.0,22549.243256391117,14.0,,web,1
row-0048,57.0,39406.09646494874,13.0,north,store,1
row-0049,63.0,49119.58718225419,2.0,north,web,1
