customer_id,age,income,tenure_years,region,channel,target_copy,approved_after_review,outcome
customer-0000,72.0,24460.850397689515,12.0,east,store,1,1,1
customer-0001,60.0,35818.7440152051,16.0,east,web,1,1,1
customer-0002,27.0,21039.36271755924,7.0,south,store,0,0,0
customer-0003,68.0,32904.42827801335,14.0,south,web,1,1,1
customer-0004,27.0,53884.17867754432,13.0,east,store,1,1,1
customer-0005,27.0,19995.299707409256,10.0,west,web,0,0,0
customer-0006,51.0,31675.309665126715,3.0,,web,0,0,0
customer-0007,35.0,53124.73022920466,10.0,east,partner,0,0,0
customer-0008,35.0,28979.016440490803,16.0,north,partner,1,1,1
customer-0009,30.0,27148.00195508542,17.0,west,partner,1,1,1
customer-0010,53.0,56312.29883285185,8.0,north,partner,1,1,1
customer-0011,20.0,30375.60587153627,4.0,west,web,0,0,0
customer-0012,32.0,54934.00917113586,13.0,south,web,1,1,1
customer-0013,50.0,41363.96889298311,1.0,west,web,0,0,0
customer-0014,46.0,29911.70773489276,2.0,west,web,0,0,0
customer-0015,58.0,42254.66423771139,10.0,west,web,1,1,1
customer-0016,,39521.05298307131,17.0,west,partner,1,1,1
customer-0017,55.0,53038.36426957014,5.0,east,web,0,0,0
customer-0018,62.0,27438.293072621138,7.0,west,web,0,0,0
customer-0019,41.0,35147.42187050583,5.0,north,web,1,1,1
customer-0020,33.0,33663.297051468624,7.0,north,web,0,0,0
customer-0021,50.0,46431.91009867121,0.0,east,web,0,0,0
customer-0022,51.0,22458.506685166874,10.0,west,store,0,0,0
customer-0023,24.0,52951.43015806052,10.0,west,web,0,0,0
customer-0024,51.0,42018.19779717536,5.0,east,store,0,0,0
customer-0025,27.0,,4.0,east,partner,0,0,0
customer-0026,51.0,57381.10728209476,13.0,east,store,1,1,1
customer-0027,72.0,88284.43473044806,3.0,west,store,1,1,1
customer-0028,49.0,52615.72283172071,0.0,west,web,0,0,0
customer-0029,,62902.02286800722,0.0,north,web,0,0,0
customer-0030,36.0,35805.47094024852,15.0,east,web,1,1,1
customer-0031,71.0,17191.458381233308,6.0,south,partner,0,0,0
customer-0032,65.0,15922.196333181148,1.0,west,store,0,0,0
customer-0033,71.0,38450.7875982825,15.0,east,web,1,1,1
customer-0034,61.0,26940.039084285447,2.0,west,web,0,0,0
customer-0035,56.0,23526.38798416031,6.0,south,store,0,0,0
customer-0036,48.0,33645.896890444965,0.0,east,store,0,0,0
customer-0037,71.0,44736.53662532873,12.0,north,store,1,1,1
customer-0038,67.0,18766.747455468136,12.0,west,partner,1,1,1
customer-0039,42.0,28608.85028556521,13.0,north,store,1,1,1
customer-0040,23.0,65130.334467512395,4.0,south,store,0,0,0
customer-0041,19.0,21990.78718480241,5.0,west,web,0,0,0
customer-0042,32.0,49776.57140547111,16.0,west,web,0,0,0
customer-0043,22.0,28181.276433462044,14.0,south,partner,0,0,0
customer-0044,,43444.23232770974,0.0,south,store,0,0,0
customer-0045,25.0,54768.886824614645,12.0,north,web,0,0,0
customer-0046,74.0,,14.0,west,store,0,0,0
customer-0047,24.0,50607.09348646863,10.0,north,web,0,0,0
customer-0048,54.0,21297.19634351004,11.0,north,store,1,1,1
customer-0049,39.0,55145.86678094567,0.0,south,web,0,0,0
customer-0050,28.0,24145.876323564065,0.0,north,store,0,0,0
customer-0051,58.0,38522.876612595035,0.0,north,web,1,1,1
customer-0052,,38501.92036101569,2.0,east,web,0,0,0
customer-0053,64.0,42351.17627255188,17.0,east,web,1,1,1
customer-0054,74.0,39796.00478491327,11.0,south,store,1,1,1
customer-0055,52.0,24236.13084942021,14.0,west,web,1,1,1
customer-0056,,19595.50901029053,5.0,east,web,0,0,0
customer-0057,27.0,49830.695348043715,16.0,north,store,1,1,1
customer-0058,67.0,37348.59312658445,3.0,east,web,1,1,1
customer-0059,61.0,55979.35680093142,16.0,east,web,1,1,1
customer-0060,33.0,33901.41956756101,0.0,west,web,0,0,0
customer-0061,39.0,19145.65294378308,0.0,north,partner,0,0,0
customer-0062,53.0,51832.59440718288,1.0,north,web,1,1,1
customer-0063,19.0,29567.892653598177,14.0,south,web,0,0,0
customer-0064,65.0,39880.44777679101,4.0,south,web,1,1,1
customer-0065,,26319.543473014142,8.0,west,web,0,0,0
customer-0066,23.0,68913.4548168817,8.0,east,web,0,0,0
customer-0067,37.0,23904.99648077437,14.0,,web,1,1,1
customer-0068,66.0,,6.0,east,web,0,0,0
customer-0069,34.0,36139.020293537156,0.0,west,web,0,0,0
customer-0070,49.0,21835.304746754435,6.0,south,partner,1,1,1
customer-0071,65.0,39688.55754196829,5.0,north,web,1,1,1
customer-0072,20.0,67982.28262224035,13.0,north,web,1,1,1
customer-0073,62.0,28113.52039659524,13.0,south,partner,1,1,1
customer-0074,35.0,40780.527691103845,1.0,,partner,0,0,0
customer-0075,,10886.046797595713,14.0,south,store,1,1,1
customer-0076,29.0,33984.15738688704,1.0,south,web,0,0,0
customer-0077,26.0,30288.465422973662,11.0,south,web,0,0,0
customer-0078,63.0,24495.164433403934,7.0,,web,1,1,1
customer-0079,65.0,54404.883402531785,5.0,west,web,1,1,1
customer-0080,74.0,30120.993127113863,8.0,north,web,1,1,1
customer-0081,57.0,32063.04678274864,5.0,north,store,0,0,0
customer-0082,45.0,29483.291516230467,14.0,north,web,1,1,1
customer-0083,30.0,15443.405054132583,17.0,west,store,1,1,1
customer-0084,35.0,21473.30243216804,14.0,south,web,1,1,1
customer-0085,55.0,51723.07387738584,7.0,west,web,1,1,1
customer-0086,38.0,14240.15013801636,9.0,east,store,1,1,1
customer-0087,46.0,,8.0,,partner,0,0,0
customer-0088,28.0,29205.65331976631,14.0,south,web,1,1,1
customer-0089,,71848.94329223788,9.0,south,store,1,1,1
customer-0090,32.0,47706.05373506378,8.0,north,web,1,1,1
customer-0091,25.0,27336.781406424598,7.0,east,web,0,0,0
customer-0092,26.0,59748.284183574346,6.0,south,store,0,0,0
customer-0093,48.0,25310.72139211305,9.0,south,web,1,1,1
customer-0094,39.0,52776.53286431248,12.0,north,web,1,1,1
customer-0095,24.0,19521.49717788086,7.0,west,web,1,1,1
customer-0096,48.0,54218.0029135006,14.0,west,web,0,0,0
customer-0097,28.0,29127.087697565734,14.0,south,web,1,1,1
customer-0098,19.0,22427.164831842692,7.0,,web,0,0,0
customer-0099,26.0,31533.308615501006,16.0,west,partner,1,1,1
customer-0100,44.0,38811.99221188004,3.0,east,store,0,0,0
customer-0101,73.0,28062.955028556004,16.0,east,web,1,1,1
customer-0102,32.0,43593.375186043246,5.0,south,web,0,0,0
customer-0103,35.0,27041.89391288412,10.0,east,store,1,1,1
customer-0104,32.0,44826.57369790524,5.0,east,web,0,0,0
customer-0105,39.0,,7.0,east,web,0,0,0
customer-0106,59.0,33671.6769716506,6.0,east,store,0,0,0
customer-0107,37.0,28699.053692182835,12.0,east,web,1,1,1
customer-0108,56.0,36814.50242723305,1.0,north,web,0,0,0
customer-0109,70.0,43525.688024166586,15.0,west,web,1,1,1
customer-0110,72.0,82121.54165441364,16.0,west,web,1,1,1
customer-0111,51.0,51254.391296042995,10.0,north,web,0,0,0
customer-0112,59.0,52047.69449004178,9.0,south,partner,1,1,1
customer-0113,,126396.00091217157,12.0,west,web,1,1,1
customer-0114,63.0,42903.23715563069,3.0,south,store,0,0,0
customer-0115,36.0,42342.65607413453,13.0,west,store,1,1,1
customer-0116,26.0,46429.31517188884,3.0,west,web,0,0,0
customer-0117,25.0,22611.96091785438,12.0,west,web,1,1,1
customer-0118,69.0,28668.70282155806,5.0,north,web,0,0,0
customer-0119,50.0,27928.66634780822,13.0,south,store,1,1,1
customer-0120,35.0,45342.40065199966,14.0,east,web,1,1,1
customer-0121,38.0,32107.556418702756,3.0,west,store,0,0,0
customer-0122,35.0,36609.16283350604,11.0,north,partner,0,0,0
customer-0123,64.0,54542.25167926267,8.0,south,store,1,1,1
customer-0124,53.0,49638.563982093765,5.0,north,partner,0,0,0
customer-0125,69.0,32275.934794614925,10.0,west,store,1,1,1
customer-0126,36.0,26071.604720027084,17.0,west,partner,1,1,1
customer-0127,45.0,55648.777415799304,0.0,north,store,0,0,0
customer-0128,,47812.11297913749,17.0,north,store,1,1,1
customer-0129,74.0,17595.03671306596,15.0,south,store,1,1,1
customer-0130,,30287.04510133184,9.0,west,partner,0,0,0
customer-0131,50.0,37031.21534970513,10.0,south,web,1,1,1
customer-0132,42.0,47911.38707751646,6.0,south,store,0,0,0
customer-0133,34.0,50627.11735723657,2.0,south,web,0,0,0
customer-0134,73.0,38919.104235129445,10.0,east,partner,1,1,1
customer-0135,46.0,44170.12626366551,14.0,south,web,1,1,1
customer-0136,57.0,35487.55877507066,4.0,north,store,1,1,1
customer-0137,,26029.40894286424,12.0,west,store,1,1,1
customer-0138,34.0,30954.354279533072,13.0,south,partner,0,0,0
customer-0139,64.0,34821.01275674924,13.0,south,web,1,1,1
customer-0140,24.0,34044.87257236106,6.0,east,store,0,0,0
customer-0141,24.0,15647.389549927422,7.0,east,store,1,1,1
customer-0142,65.0,29233.102672645466,7.0,north,partner,1,1,1
customer-0143,36.0,35369.54345044987,15.0,north,partner,0,0,0
