row_id,age,income,tenure_years,region,channel,annual_spend
row-20000,19.0,18459.151617177013,12.0,north,web,96.7580988350608
row-20001,57.0,35328.748737645525,14.0,east,partner,168.60893063586653
row-20002,57.0,32857.95277835609,4.0,west,web,132.9934511826555
row-20003,29.0,56455.38853869351,5.0,east,web,156.62868601664132
row-20004,61.0,32047.191474686482,16.0,south,store,161.11651480231453
row-20005,29.0,25808.56788428828,7.0,south,web,102.28946937547933
row-20006,31.0,27923.58266781932,4.0,east,web,105.20392600517087
row-20007,65.0,58959.77807578776,17.0,east,partner,213.74984841790402
row-20008,74.0,43271.29352566299,8.0,east,web,176.37982867706023
row-20009,34.0,,17.0,north,web,164.9045373810671
row-20010,71.0,31278.695931317092,16.0,east,web,176.15147946797111
row-20011,71.0,17886.215689432775,16.0,east,partner,162.20490684857901
row-20012,,40666.468592437144,10.0,east,web,148.89746101741667
row-20013,26.0,16496.069225793402,14.0,north,web,124.77400703184406
row-20014,36.0,47370.47937418217,17.0,east,web,186.08522695160093
row-20015,57.0,36461.823797188015,4.0,,web,127.05045521722167
row-20016,75.0,94138.25285932989,0.0,north,partner,241.9649060544552
row-20017,65.0,,5.0,west,web,140.9023504861887
row-20018,42.0,33086.542965433495,11.0,east,partner,142.8348417568385
row-20019,32.0,73517.65308482887,9.0,south,web,174.94282710474235
row-20020,73.0,56975.89991632176,1.0,east,web,177.77699486457954
row-20021,34.0,25786.101864330092,10.0,east,partner,139.36794209748348
row-20022,38.0,37951.57636542066,3.0,east,web,121.8763520198905
row-20023,73.0,34573.39482931638,9.0,south,web,143.37282222662276
row-20024,51.0,38887.24035290459,10.0,west,partner,143.91731853821236
row-20025,34.0,25759.382711965914,11.0,west,web,135.93100207434557
row-20026,19.0,33272.464129102744,7.0,north,web,123.7723182550051
row-20027,43.0,17655.771434799346,7.0,east,partner,113.20418372976529
row-20028,75.0,36561.52912533254,12.0,north,web,180.32281310025513
row-20029,,41731.381671940966,13.0,south,web,145.68611235908978
row-20030,58.0,31397.509287296678,14.0,west,web,154.65020940464396
row-20031,33.0,17530.169130941456,6.0,north,web,128.0029589365681
row-20032,63.0,52322.58447649627,7.0,south,web,176.1283731615642
row-20033,63.0,40259.46924638472,5.0,north,store,157.51863914503116
row-20034,53.0,25465.341733600886,9.0,east,web,141.43103132183313
row-20035,62.0,30703.987536651148,2.0,south,store,115.43532189631209
row-20036,51.0,18392.878871473313,7.0,east,web,107.65474483528641
row-20037,40.0,,3.0,west,web,129.83657642365242
row-20038,61.0,27559.958919160923,9.0,east,web,153.76058830524622
row-20039,66.0,57868.978406167786,15.0,east,store,216.32583336658698
row-20040,66.0,26407.638273463446,17.0,north,web,170.32240066565814
row-20041,31.0,45201.689205182054,8.0,north,web,154.53510366975917
row-20042,57.0,27554.11573237726,1.0,west,partner,123.87953247417278
row-20043,19.0,38335.74292281502,4.0,west,store,118.14408664565927
row-20044,51.0,32552.644517037756,1.0,east,web,124.17350447647732
row-20045,51.0,49845.51353485248,13.0,south,partner,157.33476756145154
row-20046,,27594.706448010085,17.0,north,web,161.48918603100924
row-20047,75.0,17846.061792575783,9.0,west,web,143.42216016351648
row-20048,69.0,19333.24451556268,3.0,west,web,111.11674875010493
row-20049,21.0,27628.730005920483,0.0,north,web,107.61441068061258
row-20050,30.0,20442.979715038724,17.0,east,web,134.78526143849393
row-20051,30.0,41039.44870274367,5.0,east,store,139.81021089674184
row-20052,70.0,28406.616454343148,2.0,south,web,129.51375317954776
row-20053,48.0,93651.40880055111,3.0,west,store,211.4158565073492
row-20054,60.0,16649.906337916433,4.0,north,partner,112.25614370572002
row-20055,65.0,37628.83542486096,11.0,south,store,151.6086164575113
row-20056,62.0,21509.709786152067,16.0,north,store,167.28845590191716
row-20057,24.0,28078.836919586895,4.0,east,store,104.72422805469854
row-20058,26.0,36658.33777831112,12.0,east,partner,137.12920340046318
row-20059,41.0,13008.31467727995,1.0,west,web,72.86301962244747
row-20060,38.0,38157.093978188306,0.0,east,web,136.10417384913904
row-20061,61.0,76820.0639338752,0.0,north,web,210.71009139078996
row-20062,27.0,28554.102918396333,16.0,south,web,132.52042624651784
row-20063,40.0,38527.182105082895,10.0,north,web,163.56485086508067
row-20064,32.0,53128.410994066115,14.0,east,store,179.72957502190297
row-20065,29.0,32245.685489043386,0.0,east,web,106.95822624730837
row-20066,,,0.0,west,partner,117.85365127114459
row-20067,30.0,13282.341303122561,15.0,south,web,100.93056140253897
row-20068,,45216.4438723511,1.0,south,web,147.16785108943165
row-20069,,32940.8651535239,2.0,north,web,136.60268194938192
row-20070,43.0,22576.679735763908,9.0,south,web,109.31841651418581
row-20071,46.0,36430.8280018893,10.0,south,web,141.1047194219979
row-20072,61.0,27034.098352510253,4.0,west,web,120.77506510377113
row-20073,68.0,27668.80889164206,8.0,west,web,153.83476036758768
row-20074,49.0,44562.246369198045,12.0,north,web,172.3158858831471
row-20075,55.0,19690.26021709637,7.0,south,web,115.34298835400182
row-20076,61.0,53630.45736792223,6.0,east,web,185.00752946008527
row-20077,58.0,19205.880967195786,1.0,south,web,101.50220126022863
row-20078,26.0,26151.593603346173,8.0,north,web,124.28868034775674
row-20079,75.0,77469.33049801257,14.0,west,web,237.37961034101093
row-20080,28.0,55463.97555521744,11.0,east,web,168.80087565461642
row-20081,42.0,35989.901955276095,16.0,east,web,157.74796351042164
row-20082,,23271.327665678065,2.0,south,store,95.06060749012917
row-20083,41.0,,0.0,west,partner,126.55713261555655
row-20084,32.0,35624.027969284514,9.0,north,partner,143.67628552513068
